City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,wailua homesteads,22.0669,-159.378,28.24,72,40,4.63,US,1686264229
302,ilebo,-4.3167,20.5833,21.95,96,91,0.78,CD,1686264229
303,san ignacio de velasco,-16.3667,-60.95,22.68,65,0,1.1,BO,1686264229
304,subaykhan,34.8544,40.6083,32.28,18,87,2.82,SY,1686264229
305,yekaterinoslavka,50.3734,129.1139,13.19,96,100,4.73,RU,1686264229
306,wajir,1.7471,40.0573,25.54,68,80,7.32,KE,1686264229
307,zhangzhou,24.5133,117.6556,27.96,97,98,0.63,CN,1686264230
308,namibe,-15.1961,12.1522,18.79,74,0,3.1,AO,1686263995
309,puerto deseado,-47.7503,-65.8938,4.0,95,93,13.17,AR,1686264230
310,qorovulbozor,39.5006,64.7936,28.84,25,89,13.27,UZ,1686264064
311,revda,56.801,59.9303,5.31,99,25,1.87,RU,1686264230
312,tvoroyri,61.5556,-6.8111,8.84,86,100,5.34,FO,1686264230
313,panjab,34.388,67.0233,11.52,35,0,2.32,AF,1686264230
314,barmer,25.75,71.3833,27.88,70,0,7.12,IN,1686264230
315,lompoc,34.6391,-120.4579,23.08,74,75,3.6,US,1686264231
316,stephenville,32.2207,-98.2023,32.07,45,0,2.68,US,1686264231
317,upata,8.0086,-62.3989,28.44,72,88,2.07,VE,1686264231
318,turabah,21.2141,41.6331,29.04,21,3,1.29,SA,1686264231
319,nebbi,2.4783,31.0889,19.28,75,7,2.08,UG,1686264231
320,dire,12.2833,-10.9667,30.39,43,100,2.52,ML,1686264231
321,portland,45.5234,-122.6762,25.4,49,100,2.06,US,1686263456
322,chibougamau,49.9168,-74.3659,15.79,59,100,2.57,CA,1686264231
323,greenville,35.6127,-77.3663,25.09,60,75,3.6,US,1686264231
324,sotik post,-0.7813,35.3416,12.87,78,26,1.29,KE,1686264232
325,bengkulu,-3.8004,102.2655,24.11,90,87,2.12,ID,1686264232
326,mae ramat,16.984,98.5166,24.18,98,100,0.57,TH,1686264232
327,altai,46.3722,96.2583,16.45,26,0,1.13,MN,1686264232
328,xining,36.6167,101.7667,12.44,63,95,1.23,CN,1686264232
329,soe,-9.8607,124.284,20.22,86,82,1.94,ID,1686264232
330,puerto armuelles,8.2833,-82.8667,28.99,71,91,2.24,PA,1686264232
331,flying fish cove,-10.4217,105.6791,24.82,94,100,6.17,CX,1686264232
332,lysekil,58.2743,11.4358,16.68,69,53,7.33,SE,1686264233
333,kolarovo,47.9229,17.9847,17.12,89,65,0.77,SK,1686264233
334,illizi,26.4833,8.4667,30.86,21,1,5.81,DZ,1686264233
335,kavaratti,10.5669,72.642,29.94,75,96,9.39,IN,1686263964
336,fallsburg,41.732,-74.6013,16.46,72,100,3.6,US,1686264233
337,nar'yan-mar,67.6713,53.087,5.36,83,99,2.78,RU,1686264105
338,silver city,32.7701,-108.2803,28.98,11,0,5.14,US,1686264004
339,shilin,24.8188,103.3324,15.1,82,100,1.86,CN,1686264233
340,berdigestyakh,62.0989,126.6992,10.49,95,100,1.04,RU,1686264233
341,mbale,1.0821,34.175,18.21,85,36,1.93,UG,1686264233
342,guigang,23.0964,109.6092,24.95,93,99,1.48,CN,1686264234
343,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,51,75,4.0,RU,1686264234
344,el maamoura,36.465,10.8061,21.14,82,62,5.62,TN,1686264234
345,nuuk,64.1835,-51.7216,2.34,75,75,2.06,GL,1686264234
346,lauro de freitas,-12.8944,-38.3272,26.01,83,75,3.09,BR,1686263981
347,soja,34.6667,133.75,21.02,94,75,2.06,JP,1686264234
348,balqash,46.8481,74.995,23.12,45,28,2.81,KZ,1686264234
349,maumere,-8.6199,122.2111,25.95,85,83,2.88,ID,1686264234
350,huron,41.1501,-82.5499,21.31,37,76,4.24,US,1686264234
351,tibanbang,6.6315,126.1055,27.84,79,92,1.58,PH,1686264235
352,sansanne-mango,10.3592,0.4708,27.07,71,99,5.26,TG,1686264235
353,roxas,11.5853,122.7511,25.64,84,76,2.23,PH,1686264235
354,inarajan village,13.2736,144.7484,28.54,90,100,2.74,GU,1686264235
355,betio village,1.358,172.9211,29.02,78,100,6.55,KI,1686264235
356,constantia,44.1833,28.65,14.38,81,81,2.95,RO,1686263952
357,hadibu,12.65,54.0333,28.56,77,90,5.35,YE,1686264235
358,sabzevar,36.2126,57.6819,22.14,56,81,4.77,IR,1686264235
